kind,episode,steps,score,total_reward,epsilon,q_states,kills,rooms,floors,done,wall_seconds
train,976,100,16.295,9.59971,0.1,128,5,1,0,False,16.15
train,977,100,15.3725,17.568667,0.1,128,4,1,0,False,15.92
train,978,100,4.329167,-3.473,0.1,128,3,0,0,False,15.93
train,979,100,14.445833,16.035791,0.1,128,3,1,0,False,15.91
train,980,100,14.395833,14.592,0.1,128,3,1,0,False,15.93
train,981,100,15.3625,14.884778,0.1,128,4,1,0,False,15.94
train,982,100,15.359167,15.185966,0.1,128,4,1,0,False,15.97
train,983,100,14.328333,7.6605,0.1,128,3,1,0,False,15.95
train,984,100,14.401667,13.991189,0.1,128,3,1,0,False,15.97
train,985,100,4.27,-3.533833,0.1,128,3,0,0,False,16.04
train,986,100,15.331667,15.1445,0.1,128,4,1,0,False,15.99
train,987,100,3.41,2.604862,0.1,128,2,0,0,False,15.99
train,988,100,3.375833,2.570695,0.1,128,2,0,0,False,16.0
train,989,100,14.415,8.833298,0.1,128,3,1,0,False,15.92
train,990,100,15.4275,14.509389,0.1,128,4,1,0,False,15.96
train,991,100,15.3625,15.560333,0.1,128,4,1,0,False,15.91
train,992,100,4.253333,-5.548833,0.1,128,3,0,0,False,16.0
train,993,100,14.378333,6.094467,0.1,128,3,1,0,False,15.99
train,994,100,15.385,17.971366,0.1,128,4,1,0,False,15.98
train,995,100,15.395,15.442248,0.1,128,4,1,0,False,16.02
train,996,100,14.400833,9.523298,0.1,128,3,1,0,False,16.01
train,997,100,15.371667,17.567833,0.1,128,4,1,0,False,15.93
train,998,100,7.261667,1.4595,0.1,128,6,0,0,False,15.93
train,999,100,14.445,17.065637,0.1,128,3,1,0,False,16.0
train,1000,100,1.49,0.262881,0.1,128,0,0,0,False,16.0
eval,1000,100,14.3575,12.323333,0.1,128,3,1,0,False,15.95
eval,1000,100,4.33,-7.704167,0.1,129,3,0,0,True,16.01
eval,1000,100,1.535,1.500833,0.1,129,0,0,0,False,15.95
train,1001,56,0.735833,-9.932,0.1,129,0,0,0,True,9.32
